、,記号,、,"55,670,259 "
の,助詞,ノ,"50,267,639 "
。,記号,。,"43,564,907 "
に,助詞,ニ,"35,286,930 "
を,助詞,ヲ,"33,707,106 "
は,助詞,ハ,"31,279,365 "
が,助詞,ガ,"30,663,103 "
て,助詞,テ,"29,786,833 "
た,助動詞,タ,"22,591,491 "
ます,助動詞,マス,"20,541,494 "
だ,助動詞,ダロ,"20,100,390 "
と,助詞,ト,"18,378,442 "
【数字】,名詞,,"16,242,983 "
で,助詞,デ,"14,829,301 "
いる,動詞-非自立,イル,"11,403,947 "
も,助詞,モ,"11,137,179 "
です,助動詞,デス,"10,731,816 "
こと,名詞,コト,"9,542,483 "
ない,助動詞,ナイ,"8,919,511 "
【地域】,名詞,,"7,815,007 "
「,記号,「,"7,072,157 "
れる,動詞-接尾,レル,"6,968,301 "
の,名詞,ノ,"6,953,786 "
」,記号,」,"6,867,199 "
【人名】,名詞,,"6,646,563 "
する,動詞-自立,スル,"6,636,525 "
ある,動詞-自立,アル,"6,572,116 "
なる,動詞-自立,ナル,"6,059,054 "
【一般】,名詞,,"5,592,522 "
から,助詞,カラ,"5,589,224 "
か,助詞,カ,"5,376,400 "
,名詞,,"4,817,414 "
・,記号,・,"4,235,624 "
【組織】,名詞,,"4,119,141 "
という,助詞,トイウ,"4,111,651 "
よう,名詞,ヨウ,"3,866,384 "
や,助詞,ヤ,"3,763,509 "
その,連体詞,ソノ,"3,560,026 "
）,記号,）,"3,556,448 "
（,記号,（,"3,523,200 "
ある,助動詞,アル,"3,447,541 "
できる,動詞-自立,デキル,"3,428,316 "
的,名詞,テキ,"3,282,177 "
う,助動詞,ウ,"3,271,786 "
人,名詞,ヒト,"3,168,393 "
この,連体詞,コノ,"2,997,132 "
思う,動詞-自立,オモウ,"2,670,076 "
言う,動詞-自立,イウ,"2,535,143 "
など,助詞,ナド,"2,522,026 "
ば,助詞,バ,"2,518,007 "
もの,名詞,モノ,"2,502,422 "
ん,助動詞,ン,"2,498,405 "
者,名詞,シャ,"2,378,600 "
ので,助詞,ノデ,"2,122,707 "
として,助詞,トシテ,"2,071,620 "
ため,名詞,タメ,"2,050,274 "
られる,動詞-接尾,ラレル,"1,953,187 "
？,記号,？,"1,900,350 "
私,名詞,ワタクシ,"1,897,530 "
，,記号,，,"1,873,561 "
年,名詞,ネン,"1,855,056 "
場合,名詞,バアイ,"1,745,676 "
まで,助詞,マデ,"1,689,144 "
これ,名詞,コレ,"1,664,172 "
ない,形容詞,ナイ,"1,656,286 "
くる,動詞-非自立,クル,"1,653,824 "
お,接頭詞,オ,"1,648,763 "
それ,名詞,ソレ,"1,626,239 "
！,記号,！,"1,537,250 "
とき,名詞,トキ,"1,501,016 "
ご,接頭詞,ゴ,"1,463,739 "
たい,助動詞,タク,"1,455,148 "
ね,助詞,ネ,"1,406,384 "
また,接続詞,マタ,"1,370,067 "
自分,名詞,ジブン,"1,365,966 "
へ,助詞,ヘ,"1,360,690 "
いく,動詞-非自立,イク,"1,358,600 "
について,助詞,ニツイテ,"1,345,645 "
ほう,名詞,ホウ,"1,340,073 "
行う,動詞-自立,オコナウ,"1,323,813 "
ん,名詞,ン,"1,320,339 "
日,名詞,ニチ,"1,290,848 "
下さる,動詞-非自立,クダサル,"1,280,965 "
見る,動詞-自立,ミル,"1,274,674 "
せる,動詞-接尾,セル,"1,265,285 "
よい,形容詞,ヨカッ,"1,254,190 "
だけ,助詞,ダケ,"1,246,654 "
　,記号,　,"1,209,309 "
考える,動詞-自立,カンガエル,"1,195,718 "
必要,名詞,ヒツヨウ,"1,191,544 "
さん,名詞,サン,"1,176,198 "
しまう,動詞-非自立,シマウ,"1,165,777 "
性,名詞,セイ,"1,103,081 "
なか,名詞,ナカ,"1,080,680 "
多い,形容詞,オオク,"1,035,357 "
ぬ,助動詞,ズ,"1,034,589 "
等,名詞,トウ,"1,022,755 "
.,記号,．,"989,922 "
たり,助詞,タリ,"969,082 "
持つ,動詞-自立,モツ,"952,301 "
おる,動詞-非自立,オル,"947,410 "
何,名詞,ナン,"923,118 "
たち,名詞,タチ,"916,427 "
月,名詞,ツキ,"911,627 "
よ,助詞,ヨ,"884,361 "
今,名詞,イマ,"871,347 "
とは,助詞,トハ,"861,233 "
(,記号,（,"851,151 "
分かる,動詞-自立,ワカル,"843,735 "
いる,動詞-自立,イル,"842,976 "
上,名詞,ウエ,"839,850 "
時間,名詞,ジカン,"839,394 "
さ,名詞,サ,"833,251 "
問題,名詞,モンダイ,"818,010 "
いい,形容詞,イイ,"775,868 "
後,名詞,ゴ,"768,555 "
情報,名詞,ジョウホウ,"766,529 "
第,接頭詞,ダイ,"766,056 "
